full_label_raw,base_label,base_label_en,modifiers_ko,modifiers_en,axis
DNA 염기서열,DNA 염기서열,DNA base sequence,,,Materiality
미생물(박테리아),미생물,microorganism,박테리아,bacteria,Materiality
생체신호,생체신호,biosignals,,,Materiality
데이터,데이터,data,,,Materiality
미생물,미생물,microorganism,,,Materiality
식물,식물,plant,,,Materiality
유전적 다양성,유전적 다양성,genetic diversity,,,Materiality
식물(다양한종),식물,plant,다양한종,Various species,Materiality
인간신체,인간신체,human body,,,Materiality
혼합물질(사이보그),혼합물질,Mixture,사이보그,cyborg,Materiality
혼합물질,혼합물질,Mixture,,,Materiality
조직배양,조직배양,Tissue culture,,,Materiality
반-생명,반-생명,anti-life,,,Materiality
사이보그,사이보그,cyborg,,,Materiality
동물(토끼),동물,animal,토끼,rabbit,Materiality
형질 전환 유전자,형질 전환 유전자,transgenic genes,,,Materiality
조직배양(돼지 줄기세포),조직배양,Tissue culture,돼지 줄기세포,pig stem cells,Materiality
세포주,세포주,cell lines,,,Materiality
동물(말혈액/혈장),동물,animal,"말혈액, 혈장","Horse blood, plasma",Materiality
생명-기계 하이브리드,생명-기계 하이브리드,Life-machine hybrid,,,Materiality
물질대사적(모방)생명체,물질대사적 생명체,metabolic organisms,모방,imitation,Materiality
합성 생명체(모방),합성 생명체,synthetic life forms,모방,imitation,Materiality
생물학적 고분자(젤라틴),생물학적 고분자,biological polymers,젤라틴,gelatin,Materiality
데이터(에너지 소비량),데이터,data,에너지 소비량,Energy consumption,Materiality
"환경(대기,수증기)",환경,environment,"대기, 수증기","atmosphere, water vapor",Materiality
유전자(인간),유전자,gene,인간,human being,Materiality
동물(돼지),동물,animal,돼지,pig,Materiality
추출 DNA,추출 DNA,Extracted DNA,,,Materiality
생물학적 흔적(침),생물학적 흔적,biological traces,침,saliva,Materiality
복합물질(유물+DNA),복합물질,composite materials,"유물, DNA","relics, DNA",Materiality
복합물질,복합물질,composite materials,,,Materiality
단백질(호르몬),단백질,protein,호르몬,hormone,Materiality
동물,동물,animal,,,Materiality
단백질(호르몬/세로토닌),단백질,protein,"호르몬, 세로토닌","hormone, serotonin",Materiality
생물학적 흔적(분뇨),생물학적 흔적,biological traces,분뇨,excretions,Materiality
혈액,혈액,blood,,,Materiality
합성 생명체,합성 생명체,synthetic life forms,,,Materiality
"혼합물질(실리콘,모헤어)",혼합물질,Mixture,"실리콘, 모헤어","Silicone, mohair",Materiality
동물(형질전환 물고기),동물,animal,형질전환 물고기,transgenic fish,Materiality
혼합물질(음식),혼합물질,Mixture,음식,food,Materiality
생물학적 흔적(내용상),생물학적 흔적,biological traces,,,Materiality
생물학적 흔적,생물학적 흔적,biological traces,,,Materiality
혼합물질(3D 프린트),혼합물질,Mixture,3D 프린트,3D printing,Materiality
동물(나비),동물,animal,나비,butterfly,Materiality
생체신호(뇌활동),생체신호,biosignals,뇌활동,brain activity,Materiality
DNA 샘플,DNA 샘플,DNA sample,,,Materiality
박테리아,박테리아,bacteria,,,Materiality
동물(개미),동물,animal,개미,ant,Materiality
데이터(향),데이터,data,향,scent,Materiality
인공생명,인공생명,artificial life,,,Materiality
데이터(DNA 염기서열),데이터,data,DNA 염기서열,DNA base sequence,Materiality
혼합물질(향분자),혼합물질,Mixture,향분자,fragrance molecules,Materiality
생태계,생태계,ecosystem,,,Materiality
미생물(시아노박테리아),미생물,microorganism,시아노박테리아,cyanobacteria,Materiality
혼합물질(유리),혼합물질,Mixture,유리,glass,Materiality
혼합물질(합성모유),혼합물질,Mixture,합성모유,synthetic breast milk,Materiality
데이터(생화학 정보),데이터,data,생화학 정보,Biochemical information,Materiality
인간신체(소변),인간신체,human body,소변,urine,Materiality
"복합물질(라드,뼈안료)",복합물질,composite materials,"라드, 뼈안료","lard, bone pigment",Materiality
식물(양귀비),식물,plant,양귀비,poppy,Materiality
식물(쪽),식물,plant,쪽,indigo,Materiality
호르몬,호르몬,hormone,,,Materiality
합성물질,합성물질,synthetic materials,,,Materiality
추출 호르몬,추출 호르몬,Extracted hormones,,,Materiality
동물(굴),동물,animal,굴,oyster,Materiality
식물(침향나무),식물,plant,침향나무,agarwood,Materiality
인간의 향기 분자,인간의 향기 분자,human scent molecules,,,Materiality
DNA,DNA,DNA,,,Materiality
유전자 변형 식물,유전자 변형 식물,genetically modified plants,,,Materiality
유리,유리,glass,,,Materiality
액체배지,액체배지,liquid medium,,,Materiality
타액,타액,saliva,,,Materiality
