Artist,Artwork,Year,Gen,물질성 (Materiality),방법론 (Methodology),행위자 관계 및 구성 (Actor Relationships & Configuration),윤리적 접근 방식 (Ethical Approach),미학적 전략 (Aesthetic Strategy),인식론적 기능 (Epistemic Function),철학적 입장 (Philosophical Stance),사회적 맥락 (Social Context),관객 참여방식 (Audience Engagement),시간적 스케일 (Temporal Scale),공간적 스케일 (Spatio Scale),권력 및 자본 비판,문서화와 재현 (Documentation & Representation)
Joe Davis,Microvenus,1986,1,"DNA 염기서열, 미생물(박테리아)","유전자 편집, 생물정보학(Bioinformatics)","예술가 주도, 자율적 생물 과정","도구적, 성찰적","개념적, 데이터 미학","사회 비판, 지식 생산, 미래 제안","탈인간 중심주의, 생태 여성주의","실험실, 과학 연구소","해석적 참여, 관찰적","진화적, 세대 간(Trans-generational)","분자 단위, 세포 단위","제도 비판, 지적 재산권","현미경 이미지, 다이어그램, 연구 노트, 출판물"
Joe Davis,Poetica Vaginal,1986,1,"생체 신호, 데이터","바이오 센싱, 데이터 시각화, 원격 현존(Telepresence)","예술가 주도, 인간 중심적 창작","도구적, 도발적","개념적, 퍼포먼스적, 청각적(소리)","사회 비판, 권력 관계 폭로, 도발과 논쟁","탈인간 중심주의, 생태 여성주의","과학 연구소, 공공장소(우주)","해석적 참여, 관찰적","순간적, 일시적(Ephemeral)","지구적 네트워크, 매크로(Macro)","제도 비판, 거버넌스","데이터 시각화, 강연 퍼포먼스, 내러티브"
Joe Davis,Audio Microscope,2000,1,"미생물, 생체 신호","바이오 센싱, 현미경 관찰","예술가 주도, 종간 공동 창작","성찰적, 관계적 윤리","다중 감각(청각적), 과정 기반","지식 생산, 인식론적 사물(Epistemic Thing), 과학 소통","관계적 존재론, 신유물론(New Materialism)","실험실, 미술관","상호작용적(Interactive), 관찰적",지속적(Durational),"마이크로(Micro), 세포 단위",,"실시간 영상, 강연 퍼포먼스, 연구 노트"
George Gessert,Iris Series,1985-,1,"식물, 유전적 다양성","생태학적 조립, 인공 선택(Artificial Selection)¹","종간 공동 창작, 인간-비인간 협업","공생적, 돌봄 기반, 관계적 윤리","생물학적 형태미, 과정 기반, 변화와 성장","예술 기반 연구(Art-based Research), 지식 생산","생명 중심주의, 심층 생태학(Deep Ecology)","자연 환경, 미술관","관찰적, 관조적, 해석적 참여","진화적, 세대 간(Trans-generational)","개체 단위(Organismic), 군집 단위(Colony)","바이오 캐피탈(비판적), 상품화(비판적)","사진 기록, 출판물, 연구 노트, 물질적 잔여물"
George Gessert,Horticultural Practice,1970s-,1,식물(다양한 종),"생태학적 조립, 인공 선택(Artificial Selection)¹","종간 공동 창작, 자율적 생물 과정","공생적, 호혜성, 돌봄 기반","생물학적 형태미, 패턴과 질감, 야생성(Wildness)²","사회 비판(상업주의), 예술 기반 연구","생명 중심주의, 관계적 존재론","자연 환경, 사설 스튜디오","관찰적, 관조적","진화적, 장기 프로젝트","개체 단위(Organismic), 군집 단위(Colony)",상업화(비판적),"사진 기록, 출판물"
Stelarc,Third Hand,1980,1,"인간 신체, 혼합 물질(사이보그)","로보틱스, 바이오 센싱, 외과적 변형(비침습적 부착)³","예술가 주도, 인간-기계 협업","성찰적, 도발적","퍼포먼스적, 기괴함, 경계의 모호함","도발과 논쟁, 미래 제안, 실험으로서의 예술","포스트휴머니즘, 트랜스휴머니즘, 사이보그 이론","미술관, 갤러리, 공공장소","관찰적, 해석적 참여","장기 프로젝트, 지속적(Durational)",인간 신체 규모,제도 비판,"사진 기록, 실시간 영상, 강연 퍼포먼스"
Stelarc,Stomach Sculpture,1993,1,"인간 신체, 혼합 물질","외과적 변형(침습적 삽입)³, 로보틱스","예술가 주도, 의도와 통제","도발적, 성찰성(Reflexivity)","퍼포먼스적, 언캐니(Uncanny), 혐오(Abject)","도발과 논쟁, 지식 생산(신체 경험)","포스트휴머니즘, 신유물론(New Materialism)","실험실(클리닉), 미술관","관찰적, 수동적 관람","일시적(Ephemeral), 단기 전시","인간 신체 규모, 마이크로(Micro)",,"실시간 영상(내시경), 사진 기록, 물질적 잔여물"
Stelarc,Ear on Arm,2006-,1,"인간 신체, 조직 배양, 반-생명(Semi-Living), 사이보그","조직 공학, 세포 배양, 외과적 변형(침습적 이식)³, 원격 현존","예술가 주도, 관객의 개입(미래)","도발적, 신경 윤리, 포스트휴먼 윤리","퍼포먼스적, 그로테스크, 과정 기반, 변화와 성장","미래 제안, 사변적 디자인, 도발과 논쟁","포스트휴머니즘, 트랜스휴머니즘, 관계적 존재론","실험실, 미술관, 온라인 플랫폼","상호작용적(미래), 관찰적","진행 중(Ongoing), 진화적",인간 신체 규모,,"사진 기록, 타임랩스 비디오, 연구 노트, 강연 퍼포먼스"
Joe Davis,Bacterial Radio,2012,1,"미생물, 혼합 물질","바이오 해킹, 유전자 편집",예술가-유기체 공동 행위,기능적 창조,기능적 미학,과학적 경계 해체,신유물론,실험실,관찰적,실시간,미시적-거시적,지식의 탈권위화,살아있는 시스템
Stelarc,Suspensions,1976,1,인간 신체,바디 아트 퍼포먼스,예술가 신체의 극한적 경험,자기-실험,인내의 스펙터클,신체 한계의 경험적 탐구,포스트휴머니즘,갤러리,관찰적,일시적,건축적,,"사진, 영상 기록"
